TestCaseID,Run,Browser,RequirementFeature,TestCaseTitle,Remarks
SFO_TC014,NO,FF,Single Frame Order,Verifying Single Frame Order functionality by selecting the age less than 13 years,
SFO_TC015,YES,FF,Single Frame Order,Verifying Single Frame Order functionality by selecting the age more than 13 years,
SFO_TC016,NO,FF,Single Frame Order,Verifying Single Frame Order functionality - Just Browsing - No Package -Scratch resistant lens coating,
SFO_TC017,NO,FF,Single Frame Order,Verifying Single Frame Order functionality - Just Browsing - No Package -Scratch resistant lens coating,
SFO_TC018,NO,FF,Single Frame Order,Verifying Single Frame Order functionality - Just Browsing - No Package -Basic Package- No Tint,
SFO_TC019,NO,FF,Single Frame Order,Verify the order of single frame for a patient over 13 and is Just Browsing -Basic Package -Fashion Tint,
SFO_TC020,NO,FF,Single Frame Order,Verifying Single Frame Order functionality - Just Browsing - No Package -Basic Package- Sunglasses Tint,
SFO_TC021,NO,FF,Single Frame Order,Verifying Single Frame Order functionality - Just Browsing - Verilite Package- No Tint,
SFO_TC022,NO,FF,Single Frame Order,Verifying Single Frame Order functionality - Just Browsing - Verilite Package- Fashion Tint,
SFO_TC023,NO,FF,Single Frame Order,Verifying Single Frame Order functionality - I don't know prescription,
SFO_TC024,NO,FF,Single Frame Order,Verify the order of single frame for a patient over 13,
SFO_TC025,NO,FF,Single Frame Order,Verifying Single Frame Order functionality - don't know the patient's prescription - No Package -Scratch resistant lens coating,
SFO_TC026,NO,FF,Single Frame Order,Verifying Single Frame Order functionality - don't know the patient's prescription - No Package -Basic Package- No Tint,
SFO_TC027,NO,FF,Single Frame Order,Verifying Single Frame Order functionality - don't know the patient's prescription - Basic Package - Fashion Tint,
SFO_TC028,NO,FF,Single Frame Order,Verifying Single Frame Order functionality - don't know the patient's prescription - Basic Package - sun glasses Tint,
SFO_TC029,NO,FF,Single Frame Order,Verifying Single Frame Order functionality - don't know the patient's prescription - Verilite Package - NO Tint,
SFO_TC030,NO,FF,Single Frame Order,Verifying Single Frame Order functionality - don't know the patient's prescription - Verilite Package - Fashion Tint,
SFO_TC033,NO,FF,Single Frame Order,Verifying Single Frame Order functionality - I know the patient's prescription - NO Package - Scratch resistant lens coating,
SFO_TC032,NO,FF,Single Frame Order,Verifying Single Frame Order functionality - know the patient's prescription - No Package - No Package Uncoated,
SFO_TC034,NO,FF,Single Frame Order,Verifying Single Frame Order functionality - know the patient's prescription - No Package - BAsic Package - No Tint,
SFO_TC035,NO,FF,Single Frame Order,Verifying Single Frame Order functionality - know the patient's prescription - Basic Package - Fashion Tint,
SFO_TC036,NO,FF,Single Frame Order,Verifying Single Frame Order functionality - know the patient's prescription - Basic Package - Sun glasses Tint,
SFO_TC037,NO,FF,Single Frame Order,Verifying Single Frame Order functionality - know the patient's prescription - Verilite Package - No Tint,
SFO_TC038,NO,FF,Single Frame Order,Verifying Single Frame Order functionality - know the patient's prescription - Verilite Package - Fashion Tint,
