TestCaseID,Run,Browser,RequirementFeature,TestCaseTitle,Remarks
MA_TC063,YES,CHROME,Myaccount,Verify My account Pages,
MA_TC064,YES,CHROME,Myaccount,Verify My account Pages,
CLO_TC001,YES,CHROME,Contact Lens Order,Verify Keep Shopping,
CLO_TC002,YES,CHROME,Contact Lens Order,Verify checkout process with new account creation without eyecare club membership,
CLO_TC003,YES,CHROME,Contact Lens Order,Verify checkout process with new account creation with eyecare club membership,
CLO_TC004,YES,CHROME,Contact Lens Order,Verify checkout process for existing customer with eyecare club membership,
CLO_TC005,YES,CHROME,Contact Lens Order,Verify checkout process for existing customer without eyecare club membership,
CLO_TC006,YES,CHROME,Contact Lens Order,Verify checkout process for existing customer without eyecare club membership by changing prescription options,
CLO_TC007,YES,CHROME,Contact Lens Order,Verify checkout process for existing customer with eyecare club membership by changing prescription options,
CLO_TC009,YES,CHROME,Contact Lens Order,Verify checkout process for existing customer with existing eyecare club membership,
CLO_TC006_BC_ALERT,YES,CHROME,Contact Lens Order,Verify Alert if BC values are not same and continue with the order,
CLO_TC007_COLOR_ALERT,YES,CHROME,Contact Lens Order,Verify Alert if Color values are not same and continue with the order,
SFO_TC014,YES,CHROME,Single Frame Order,Verifying Single Frame Order functionality by selecting the age less than 13 years,
SFO_TC015,YES,CHROME,Single Frame Order,Verifying Single Frame Order functionality by selecting the age more than 13 years,
SFO_TC016,YES,CHROME,Single Frame Order,Verifying Single Frame Order functionality - Just Browsing - No Package -Scratch resistant lens coating,
SFO_TC017,YES,CHROME,Single Frame Order,Verifying Single Frame Order functionality - Just Browsing - No Package -Scratch resistant lens coating,
SFO_TC018,YES,CHROME,Single Frame Order,Verifying Single Frame Order functionality - Just Browsing - No Package -Basic Package- No Tint,
SFO_TC019,YES,CHROME,Single Frame Order,Verify the order of single frame for a patient over 13 and is Just Browsing -Basic Package -Fashion Tint,
SFO_TC020,YES,CHROME,Single Frame Order,Verifying Single Frame Order functionality - Just Browsing - No Package -Basic Package- Sunglasses Tint,
SFO_TC021,YES,CHROME,Single Frame Order,Verifying Single Frame Order functionality - Just Browsing - Verilite Package- No Tint,
SFO_TC022,YES,CHROME,Single Frame Order,Verifying Single Frame Order functionality - Just Browsing - Verilite Package- Fashion Tint,
SFO_TC023,YES,CHROME,Single Frame Order,Verifying Single Frame Order functionality - I don't know prescription,
